[['v', '.', '.', '.', '>', '>', '.', 'v', 'v', '>'], ['.', 'v', 'v', '>', '>', '.', 'v', 'v', '.', '.'], ['>', '>', '.', '>', 'v', '>', '.', '.', '.', 'v'], ['>', '>', 'v', '>', '>', '.', '>', '.', 'v', '.'], ['v', '>', 'v', '.', 'v', 'v', '.', 'v', '.', '.'], ['>', '.', '>', '>', '.', '.', 'v', '.', '.', '.'], ['.', 'v', 'v', '.', '.', '>', '.', '>', 'v', '.'], ['v', '.', 'v', '.', '.', '>', '>', 'v', '.', 'v'], ['.', '.', '.', '.', 'v', '.', '.', 'v', '.', '>']]
         19132957 function calls (19126077 primitive calls) in 5.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 asserters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 groupby.py:775(GroupBy)
       95    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        2    0.000    0.000    0.009    0.005 interval.py:1(<module>)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
      230    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        4    0.000    0.000    0.055    0.014 __init__.py:9(<module>)
        1    0.000    0.000    0.057    0.057 frame.py:10(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:875(DataFrameGroupBy)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 pytables.py:1(<module>)
      107    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
      127    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 period.py:95(PeriodArray)
        6    0.000    0.000    0.204    0.034 __init__.py:3(<module>)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
      534    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
      420    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      364    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
      122    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
        1    0.000    0.000    0.001    0.001 blocks.py:1(<module>)
       23    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
        4    0.000    0.000    0.000    0.000 inspect.py:2750(__init__)
       26    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       31    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      107    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       10    0.000    0.000    0.000    0.000 accessor.py:57(_add_delegate_accessors)
       50    0.000    0.000    0.000    0.000 accessor.py:105(_forbid_nonstring_types)
      249    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      132    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      315    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       95    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.006    0.006 series.py:3(<module>)
        1    0.000    0.000    0.001    0.001 rolling.py:1485(Rolling)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
      112    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       13    0.000    0.000    0.000    0.000 extension.py:132(wrapper)
        1    0.000    0.000    0.000    0.000 string_arrow.py:92(ArrowStringArray)
        1    0.000    0.000    0.025    0.025 platform.py:10(<module>)
        3    0.000    0.000    0.002    0.001 enum.py:394(_create_)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:162(IntervalArray)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
       20    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 pytables.py:4(<module>)
      160    0.000    0.000    0.000    0.000 _decorators.py:476(__init__)
        1    0.000    0.000    0.006    0.006 _typing.py:1(<module>)
       56    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        3    0.000    0.000    0.013    0.004 common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
      218    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        5    0.000    0.000    0.056    0.011 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:368(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      168    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      116    0.000    0.000    0.000    0.000 expr.py:182(<genexpr>)
